"תחנה","תאריך ושעה (שעון קיץ)","טמפרטורה (C°)","מהירות רוח (מטר לשניה)"
"חיפה בתי זיקוק 01/1999-03/2025","01-01-2022 03:00","13.6","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","01-01-2022 06:00","13.6","5.7"
"חיפה בתי זיקוק 01/1999-03/2025","01-01-2022 09:00","13.7","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","01-01-2022 12:00","16.4","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","01-01-2022 15:00","18.1","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","01-01-2022 18:00","17.2","5.8"
"חיפה בתי זיקוק 01/1999-03/2025","01-01-2022 21:00","15.5","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","02-01-2022 00:00","15.5","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","02-01-2022 03:00","15.7","2.1"
"חיפה בתי זיקוק 01/1999-03/2025","02-01-2022 06:00","13.6","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","02-01-2022 09:00","12.3","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","02-01-2022 12:00","19.6","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","02-01-2022 15:00","20.4","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","02-01-2022 18:00","17.3","4.6"
"חיפה בתי זיקוק 01/1999-03/2025","02-01-2022 21:00","13.1","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","03-01-2022 00:00","12.3","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","03-01-2022 03:00","12.1","1"
"חיפה בתי זיקוק 01/1999-03/2025","03-01-2022 06:00","11.1","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","03-01-2022 09:00","12.4","3.8"
"חיפה בתי זיקוק 01/1999-03/2025","03-01-2022 12:00","17.8","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","03-01-2022 15:00","19.2","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","03-01-2022 18:00","15.7","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","03-01-2022 21:00","15.7","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","04-01-2022 00:00","11.4","2.1"
"חיפה בתי זיקוק 01/1999-03/2025","04-01-2022 03:00","10","2.1"
"חיפה בתי זיקוק 01/1999-03/2025","04-01-2022 06:00","11.1","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","04-01-2022 09:00","14.1","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","04-01-2022 12:00","18.8","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","04-01-2022 15:00","18.7","6.5"
"חיפה בתי זיקוק 01/1999-03/2025","04-01-2022 18:00","17.2","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","04-01-2022 21:00","17.4","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","05-01-2022 00:00","17.8","6.8"
"חיפה בתי זיקוק 01/1999-03/2025","05-01-2022 03:00","15.5","2.6"
