gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,geometry
5002616364,6c8d87be-829d-4364-b2bc-578258761cc2,INPA-3661219,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Silybum,Silybum marianum,,SPECIES,Silybum marianum (L.) Gaertn.,Silybum marianum,,IL,,,PRESENT,1,4f160e00-329d-11d9-8439-b8a03c50a862,32.806299,35.062784,,,,,,,2022-01-09,9.0,1,2022,3145214,3145214.0,HUMAN_OBSERVATION,INPA,,3661219,,,,CC_BY_NC_4_0,,,,,2025-05-24T22:39:42.731Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,POINT (35.06278399955089 32.80629900057599)
5002616680,6c8d87be-829d-4364-b2bc-578258761cc2,INPA-3671452,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,,SPECIES,"Anas platyrhynchos Linnaeus, 1758",Anas platyrhynchos,,IL,,,PRESENT,1,4f160e00-329d-11d9-8439-b8a03c50a862,32.687061,35.1715,,,,,,,2022-01-21,21.0,1,2022,9761484,9761484.0,HUMAN_OBSERVATION,INPA,,3671452,,,,CC_BY_NC_4_0,,,,,2025-05-24T22:39:42.835Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,POINT (35.17149999953839 32.68706100059506)
5002616726,6c8d87be-829d-4364-b2bc-578258761cc2,INPA-3672082,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea cinerea,,SPECIES,"Ardea cinerea Linnaeus, 1758",Ardea cinerea,,IL,,,PRESENT,1,4f160e00-329d-11d9-8439-b8a03c50a862,32.665881,35.147959,,,,,,,2022-01-21,21.0,1,2022,9797180,9797180.0,HUMAN_OBSERVATION,INPA,,3672082,,,,CC_BY_NC_4_0,,,,,2025-05-24T22:39:42.846Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,POINT (35.14795899953763 32.66588100059589)
5002616799,6c8d87be-829d-4364-b2bc-578258761cc2,INPA-3673036,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas crecca,,SPECIES,"Anas crecca Linnaeus, 1758",Anas crecca,,IL,,,PRESENT,1,4f160e00-329d-11d9-8439-b8a03c50a862,32.677364,35.12392,,,,,,,2022-01-21,21.0,1,2022,8214667,8214667.0,HUMAN_OBSERVATION,INPA,,3673036,,,,CC_BY_NC_4_0,,,,,2025-05-24T22:39:42.865Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,POINT (35.12391999953928 32.67736400059321)
5002616107,6c8d87be-829d-4364-b2bc-578258761cc2,INPA-3674477,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Oxyura leucocephala,,SPECIES,"Oxyura leucocephala (Scopoli, 1769)",Oxyura leucocephala,,IL,,,PRESENT,1,4f160e00-329d-11d9-8439-b8a03c50a862,32.772578,35.082167,0.71,,,,,,2022-01-21,21.0,1,2022,2498302,2498302.0,HUMAN_OBSERVATION,INPA,,3674477,,,,CC_BY_NC_4_0,,,,,2025-05-24T22:39:42.908Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,POINT (35.08216699954772 32.772578000580694)
5002616126,6c8d87be-829d-4364-b2bc-578258761cc2,INPA-3674774,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa totanus,,SPECIES,"Tringa totanus (Linnaeus, 1758)",Tringa totanus,,IL,,,PRESENT,1,4f160e00-329d-11d9-8439-b8a03c50a862,32.652032,35.151858,,,,,,,2022-01-21,21.0,1,2022,2481714,2481714.0,HUMAN_OBSERVATION,INPA,,3674774,,,,CC_BY_NC_4_0,,,,,2025-05-24T22:39:42.912Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,POINT (35.151857999536496 32.65203200059754)
5002626352,6c8d87be-829d-4364-b2bc-578258761cc2,INPA-3681767,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa totanus,,SPECIES,"Tringa totanus (Linnaeus, 1758)",Tringa totanus,,IL,,,PRESENT,1,4f160e00-329d-11d9-8439-b8a03c50a862,32.69143,35.136437,,,,,,,2022-01-21,21.0,1,2022,2481714,2481714.0,HUMAN_OBSERVATION,INPA,,3681767,,,,CC_BY_NC_4_0,,,,,2025-05-24T22:39:42.982Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,POINT (35.136436999539896 32.69143000059246)
5002657371,6c8d87be-829d-4364-b2bc-578258761cc2,INPA-3721032,Animalia,Chordata,Aves,Galliformes,Phasianidae,Francolinus,Francolinus francolinus,,SPECIES,"Francolinus francolinus (Linnaeus, 1766)",Francolinus francolinus,,IL,,,PRESENT,1,4f160e00-329d-11d9-8439-b8a03c50a862,32.641185,35.222118,,,,,,,2022-03-03,3.0,3,2022,5227919,5227919.0,HUMAN_OBSERVATION,INPA,,3721032,,,,CC_BY_NC_4_0,,,,,2025-05-24T22:39:43.315Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,POINT (35.22211799953332 32.641185000602924)
5002637096,6c8d87be-829d-4364-b2bc-578258761cc2,INPA-3736946,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cytisopsis,Cytisopsis pseudocytisus,,SPECIES,Cytisopsis pseudocytisus (Boiss.) Fertig,Cytisopsis pseudocytisus,,IL,,,PRESENT,1,4f160e00-329d-11d9-8439-b8a03c50a862,32.74249,35.051426,,,,,,,2022-03-12,12.0,3,2022,2977780,2977780.0,HUMAN_OBSERVATION,INPA,,3736946,,,,CC_BY_NC_4_0,,,,,2025-05-24T22:39:43.491Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,POINT (35.05142599954654 32.742490000581995)
5002655371,6c8d87be-829d-4364-b2bc-578258761cc2,INPA-3766286,Animalia,Chordata,Squamata,,Lacertidae,Phoenicolacerta,Phoenicolacerta laevis,,SPECIES,"Lacerta laevis Gray, 1838",Lacerta laevis laevis,,IL,,,PRESENT,1,4f160e00-329d-11d9-8439-b8a03c50a862,32.743851,35.057762,,,,,,,2022-03-31,31.0,3,2022,8433369,5789554.0,HUMAN_OBSERVATION,INPA,,3766286,,,,CC_BY_NC_4_0,,,,,2025-05-24T22:39:43.832Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;TAXON_MATCH_HIGHERRANK,POINT (35.057761999546436 32.74385100058225)
5002547556,6c8d87be-829d-4364-b2bc-578258761cc2,INPA-3662419,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis chaus,,SPECIES,"Felis chaus Schreber, 1777",Felis chaus,,IL,,,PRESENT,1,4f160e00-329d-11d9-8439-b8a03c50a862,32.654709,35.149394,,,,,,,2022-01-10,10.0,1,2022,2435066,2435066.0,HUMAN_OBSERVATION,INPA,,3662419,,,,CC_BY_NC_4_0,,,,,2025-05-24T22:39:43.504Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,POINT (35.149393999536755 32.65470900059712)
5002547862,6c8d87be-829d-4364-b2bc-578258761cc2,INPA-3671824,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba,,SPECIES,"Egretta alba (Linnaeus, 1758)",Egretta alba,,IL,,,PRESENT,1,4f160e00-329d-11d9-8439-b8a03c50a862,32.749236,35.076725,,,,,,,2022-01-21,21.0,1,2022,2480946,9752617.0,HUMAN_OBSERVATION,INPA,,3671824,,,,CC_BY_NC_4_0,,,,,2025-05-24T22:39:43.579Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,POINT (35.07672499954619 32.74923600058282)
