year,month,station_name,individuals,coliform_bacteria,dissolved_oxygen_saturation_percentage,opacity,ph_value,specific_electrical_conductivity,temperature
2022.0,1.0,bridge_iri_yagur,8,1400000.0,70.3,55.21,7.61,1.51,10.5
2022.0,1.0,gypsum_mountain,8,130000.0,67.8,66.9,7.73,1.54,10.2
2022.0,1.0,morad_reservoir_kfar_baruch,44,490000.0,69.7,35.7,7.79,2.15,9.5
2022.0,2.0,morad_reservoir_kfar_baruch,21,1000.0,101.3,6.98,7.99,2.44,15.3
2022.0,2.0,quarry_station_jalama,11,10000.0,66.0,39.9,7.38,2.45,15.1
2022.0,3.0,bridge_iri_yagur,1,11000.0,58.4,54.09,7.79,3.63,13.7
2022.0,3.0,histadrut_bridge,2,26000.0,61.3,36.33,7.71,6.04,13.6
2022.0,3.0,julius_simon_bridge,3,17000.0,67.4,23.1,7.67,9.98,14.1
2022.0,3.0,morad_reservoir_kfar_baruch,5,42000.0,80.7,67.65,7.94,4.02,13.7
2022.0,3.0,stone_pier,1,48000.0,90.5,5.0,7.86,45.67,15.6
2022.0,4.0,morad_reservoir_kfar_baruch,76,8700.0,68.0,98.8,7.78,3.61,19.8
2022.0,5.0,bridge_iri_yagur,1,,48.4,111.67,7.77,3.77,23.2
2022.0,5.0,histadrut_bridge,2,2200.0,52.4,36.3,7.81,14.5,22.8
2022.0,5.0,julius_simon_bridge,24,4300.0,72.9,18.55,7.89,20.36,23.7
2022.0,5.0,morad_reservoir_kfar_baruch,23,20000.0,61.9,99.62,7.78,4.49,19.9
2022.0,5.0,quarry_station_jalama,11,33000.0,54.7,116.59,7.79,3.79,22.7
2022.0,5.0,stone_pier,9,5800.0,103.1,4.0,8.05,42.69,22.7
2022.0,6.0,bridge_iri_yagur,3,26000.0,66.0,76.84,8.15,4.71,25.8
2022.0,6.0,morad_reservoir_kfar_baruch,12,48000.0,69.3,82.29,8.05,5.04,24.2
2022.0,6.0,quarry_station_jalama,1,15000.0,76.8,68.12,8.26,5.08,26.8
2022.0,8.0,julius_simon_bridge,2,1800.0,176.4,9.48,8.57,34.59,28.94
2022.0,8.0,morad_reservoir_kfar_baruch,6,1200.0,72.7,132.44,8.15,4.36,25.67
2022.0,8.0,stone_pier,26,65000.0,112.6,2.12,8.25,47.53,29.5
2022.0,9.0,histadrut_bridge,1,650.0,98.3,17.05,8.3,30.21,28.61
2022.0,9.0,morad_reservoir_kfar_baruch,33,1400.0,77.1,122.63,8.18,4.17,23.56
2022.0,10.0,bridge_iri_yagur,1,2000.0,74.4,77.11,8.53,3.2,21.39
2022.0,10.0,morad_reservoir_kfar_baruch,8,21000.0,70.7,166.03,8.1,3.16,19.72
2022.0,11.0,morad_reservoir_kfar_baruch,21,17000.0,57.9,176.59,8.09,3.03,16.56
2022.0,11.0,quarry_station_jalama,1,530000.0,41.8,51.64,8.04,2.82,17.56
2022.0,12.0,bridge_iri_yagur,2,28000.0,74.7,127.16,8.42,3.09,15.0
2022.0,12.0,histadrut_bridge,1,720.0,60.8,6.68,7.87,42.77,18.56
2022.0,12.0,morad_reservoir_kfar_baruch,52,21000.0,56.7,100.43,8.21,2.89,16.11
2023.0,1.0,bridge_iri_yagur,10,72000.0,48.9,88.22,7.99,2.47,13.78
2023.0,1.0,gypsum_mountain,10,75000.0,45.5,86.91,7.93,2.25,13.22
2023.0,1.0,histadrut_bridge,1,58000.0,52.0,31.59,7.84,10.03,14.44
2023.0,1.0,morad_reservoir_kfar_baruch,68,27000.0,65.5,78.26,8.06,2.49,15.11
2023.0,1.0,stone_pier,1,52000.0,56.5,11.73,7.78,29.38,15.78
