year,month,individuals,coliform_bacteria,dissolved_oxygen_saturation_percentage,opacity,ph_value,specific_electrical_conductivity,temperature
2022.0,1.0,60,348285.71428571426,69.82857142857144,47.60857142857144,7.591428571428571,5.981428571428572,10.942857142857141
2022.0,2.0,32,8008.571428571428,60.534285714285716,26.495714285714286,7.448571428571428,9.209999999999999,267.7285714285714
2022.0,3.0,12,29571.428571428572,69.85714285714286,41.555714285714295,7.7942857142857145,10.905714285714286,14.01428571428571
2022.0,4.0,76,16828.571428571428,57.5,73.06428571428572,7.721428571428571,7.387142857142856,19.228571428571428
2022.0,5.0,70,11950.0,62.90000000000001,67.25428571428571,7.847142857142858,13.265714285714285,22.385714285714283
2022.0,6.0,16,15414.285714285714,88.3,48.83428571428573,8.165714285714285,16.041428571428572,26.428571428571427
2022.0,8.0,34,11192.857142857143,96.45714285714287,36.075714285714284,8.245714285714287,17.62714285714286,27.99142857142857
2022.0,9.0,34,5396.0,95.71428571428571,47.61714285714286,8.351428571428572,19.58857142857143,26.795714285714286
2022.0,10.0,9,5728.571428571428,76.84285714285714,48.32428571428572,8.232857142857142,23.91,23.49857142857143
2022.0,11.0,22,80294.28571428571,66.38571428571429,47.91000000000001,8.101428571428572,26.04,19.597142857142853
2022.0,12.0,55,13602.857142857143,68.02857142857142,63.980000000000004,8.144285714285713,22.881428571428575,17.001428571428573
2023.0,1.0,90,57428.57142857143,55.32857142857143,58.13,7.92,10.40857142857143,14.642857142857142
2023.0,2.0,32,27714.285714285714,67.0,47.52428571428572,8.04142857142857,14.002857142857142,14.897142857142857
2023.0,3.0,27,120157.14285714286,55.15714285714286,111.89285714285714,7.9957142857142856,4.6242857142857146,16.69142857142857
2023.0,4.0,33,119857.14285714286,48.52857142857143,83.19857142857144,7.991428571428571,8.448571428571428,20.98428571428571
2023.0,5.0,75,9100.0,60.47142857142857,54.190000000000005,7.821428571428571,17.369999999999997,23.545714285714286
2023.0,6.0,1278,8971.42857142857,76.31428571428572,49.31999999999999,8.061428571428571,17.97857142857143,25.302857142857142
2023.0,8.0,5,12257.142857142857,71.9,39.82428571428572,8.167142857142858,21.55857142857143,30.531428571428574
2024.0,2.0,20,34671.42857142857,62.92857142857143,39.49,7.977142857142858,2.432628571428571,14.69
2024.0,3.0,6,28998.571428571428,59.67142857142858,25.735714285714284,8.061428571428571,5.009714285714286,18.50857142857143
2024.0,4.0,1,31442.85714285714,5.371428571428571,13.894285714285715,7.928571428571429,3.575714285714286,6.370671428571429
2024.0,5.0,62,47400.0,78.62857142857145,75.00714285714285,8.007142857142856,12.9592,24.54
2024.0,6.0,70,938200.0,72.58571428571427,33.80714285714286,8.121428571428572,15.717128571428571,28.16714285714286
2024.0,7.0,4,35685.71428571428,98.7,117.26714285714286,8.245714285714287,15.769985714285713,29.72857142857143
2024.0,8.0,18,10160.0,88.27142857142857,202.3714285714286,8.105714285714287,15.153314285714288,29.253968252857142
2024.0,9.0,10,17.196314285714287,6.692857142857143,3.4271428571428575,5966.0,8.162857142857144,65.3
2024.0,10.0,2,94114.28571428571,60.21428571428572,34.607142857142854,8.194285714285714,19.579414285714286,20.782857142857146
2024.0,11.0,2,44000.0,71.31428571428572,52.931428571428576,8.195714285714287,15.542728571428572,14.247142857142858
2024.0,12.0,2,24471.428571428572,82.88571428571429,45.607142857142854,8.321428571428571,23.6304,14.03
