"recordId","data_source","individuals","collection_date","species","species_heb","longitude","latitude"
3373,"HUJ collections - Marine snails",1,01/03/1937,"Mactra stultorum",,35.039421,32.799577
3374,"HUJ collections - Marine snails",1,01/09/1937,"Patella caerulea",,35.039421,32.799577
3375,"HUJ collections - Marine snails",1,01/03/1937,"Venus verrucosa",,35.039421,32.799577
3376,"HUJ collections - Marine snails",1,01/03/1937,"Gastrana fragilis",,35.039421,32.799577
3377,"HUJ collections - Marine snails",1,09/07/1935,"Gyroscala lamellosa",,35.039421,32.799577
3378,"HUJ collections - Marine snails",1,01/03/1937,"Irus irus",,35.039421,32.799577
3379,"HUJ collections - Marine snails",1,01/03/1937,"Haliotis tuberculata",,35.039421,32.799577
3380,"HUJ collections - Marine snails",1,01/03/1937,"Janthina janthina",,35.039421,32.799577
3381,"HUJ collections - Marine snails",1,01/03/1937,"Venerupis geographica",,35.039421,32.799577
3382,"HUJ collections - Marine snails",1,01/03/1937,"Tornus subcarinatus",,35.039421,32.799577
3383,"HUJ collections - Marine snails",1,09/07/1935,"Venerupis aurea",,35.039421,32.799577
3384,"HUJ collections - Marine snails",1,09/07/1935,"Epitonium turtoni",,35.039421,32.799577
3385,"HUJ collections - Marine snails",1,01/07/1937,"Epitonium turtoni",,35.039421,32.799577
3386,"HUJ collections - Marine snails",1,09/07/1935,"Epitonium clathrus",,35.039421,32.799577
3387,"HUJ collections - Marine snails",1,24/03/1937,"Emarginula elongata",,35.039421,32.799577
3388,"HUJ collections - Marine snails",1,,"Caecum auriculatum",,35.039421,32.799577
3389,"HUJ collections - Marine snails",1,01/03/1937,"Barnea candida",,35.039421,32.799577
3390,"HUJ collections - Marine snails",1,01/03/1937,"Cerastoderma glaucum",,35.039421,32.799577
3391,"HUJ collections - Marine snails",1,01/04/1937,"Chamalea gallina",,35.039421,32.799577
3392,"HUJ collections - Marine snails",1,24/03/1937,"Petricola lithophaga",,35.039421,32.799577
3393,"HUJ collections - Marine snails",1,24/03/1937,"Solen marginatus",,35.039421,32.799577
3394,"HUJ collections - Marine snails",1,01/03/1937,"Smaragdia viridis",,35.039421,32.799577
3395,"HUJ collections - Marine snails",1,01/04/1937,"Dosinia lupinus",,35.039421,32.799577
3396,"HUJ collections - Marine snails",1,24/03/1937,"Cypraea lurida",,35.039421,32.799577
9916,"Asaf Tsoar bats database",1,12/02/1960,"Pipistrellus kuhlii","עטלפון לבן-שוליים",35.053319,32.788774
23367,"HUJ collections - Fish",1,10/05/1955,"Acanthobrama lissneri",,35.028731,32.806776
23368,"HUJ collections - Fish",1,04/11/1958,"Anguilla anguilla",,35.028731,32.806776
23369,"HUJ collections - Fish",1,04/11/1958,"Anguilla anguilla",,35.028731,32.806776
23370,"HUJ collections - Fish",1,04/11/1958,"Acanthobrama lissneri",,35.028731,32.806776
23371,"HUJ collections - Fish",1,04/11/1958,"Acanthobrama lissneri",,35.028731,32.806776
23372,"HUJ collections - Fish",1,04/11/1958,"Liza ramada",,35.028731,32.806776
23373,"HUJ collections - Fish",1,04/11/1958,"Liza ramada",,35.028731,32.806776
23374,"HUJ collections - Fish",1,04/11/1958,"Liza ramada",,35.028731,32.806776
23375,"HUJ collections - Fish",1,04/11/1958,"Liza ramada",,35.028731,32.806776
23376,"HUJ collections - Fish",1,04/11/1958,"Liza ramada",,35.028731,32.806776
23377,"HUJ collections - Fish",1,04/11/1958,"Mugil cephalus",,35.028731,32.806776
23378,"HUJ collections - Fish",1,04/11/1958,"Liza ramada",,35.028731,32.806776
23379,"HUJ collections - Fish",1,04/11/1958,"Tilapia zillii","אמנון מצוי",35.028731,32.806776
23380,"HUJ collections - Fish",1,04/11/1958,"Tilapia zillii","אמנון מצוי",35.028731,32.806776
23381,"HUJ collections - Fish",1,04/11/1958,"Tilapia zillii","אמנון מצוי",35.028731,32.806776
23382,"HUJ collections - Fish",1,04/11/1958,"Gambusia affinis",,35.028731,32.806776
23383,"HUJ collections - Fish",1,04/11/1958,"Cyprinus carpio",,35.028731,32.806776
23384,"HUJ collections - Fish",1,04/11/1958,"Cyprinus carpio",,35.028731,32.806776
23425,"HUJ collections - Fish",1,19/04/1967,"Hemigrammocapoeta nana",,35.237922,32.588681
42476,"HUJ collections - Land snails",1,28/06/1969,"Pene sidoniensis","סלעונית הררית",35.044767,32.795075
42477,"HUJ collections - Land snails",1,28/06/1969,"Buliminus labrosus",,35.044767,32.795075
42876,"HUJ collections - Land snails",1,11/02/1943,"Levantina caesareana","קדמום שומרון",35.108918,32.704971
104524,"Avinoam Danin - Vascular plants grid database",1,,"Capnophyllum peregrinum","גבשונית השדה",35.236844,32.551710
104525,"Avinoam Danin - Vascular plants grid database",1,,"Cyperus rotundus","גמא הפקעים",35.236844,32.551710
104526,"Avinoam Danin - Vascular plants grid database",1,,"Allium ampeloprasum","שום גבה",35.236844,32.551710
104527,"Avinoam Danin - Vascular plants grid database",1,,"Rhagadiolus stellatus","כוכבן מצוי",35.236844,32.551710
104528,"Avinoam Danin - Vascular plants grid database",1,,"Cynara syriaca","קנרס סורי",35.236844,32.551710
104529,"Avinoam Danin - Vascular plants grid database",1,,"Carlina lanata","קיצנית צמרנית",35.236844,32.551710
104530,"Avinoam Danin - Vascular plants grid database",1,,"Amaranthus albus","ירבוז לבן",35.236844,32.551710
104531,"Avinoam Danin - Vascular plants grid database",1,,"Ridolfia segetum","נירית הקמה",35.236844,32.551710
104532,"Avinoam Danin - Vascular plants grid database",1,,"Geropogon hybridus","זקן-סב מצוי",35.236844,32.551710
104533,"Avinoam Danin - Vascular plants grid database",1,,"Dittrichia viscosa","טיון דביק",35.236844,32.551710
104534,"Avinoam Danin - Vascular plants grid database",1,,"Cynodon dactylon","יבלית מצויה",35.236844,32.551710
104535,"Avinoam Danin - Vascular plants grid database",1,,"Portulaca oleracea","רגלת הגינה",35.236844,32.551710
104536,"Avinoam Danin - Vascular plants grid database",1,,"Amaranthus palmeri","ירבוז פלמר",35.236844,32.551710
104537,"Avinoam Danin - Vascular plants grid database",1,,"Epilobium hirsutum","ערברבה שעירה",35.236844,32.551710
104538,"Avinoam Danin - Vascular plants grid database",1,,"Xanthium strumarium","לכיד הנחלים",35.236844,32.551710
104539,"Avinoam Danin - Vascular plants grid database",1,,"Conyza canadensis","קיצת קנדית",35.236844,32.551710
104540,"Avinoam Danin - Vascular plants grid database",1,,"Ammi visnaga","אמיתה קיצית",35.236844,32.551710
104541,"Avinoam Danin - Vascular plants grid database",1,,"Silybum marianum","גדילן מצוי",35.236844,32.551710
104542,"Avinoam Danin - Vascular plants grid database",1,,"Phalaris brachystachys","חפורית מצויה",35.236844,32.551710
104543,"Avinoam Danin - Vascular plants grid database",1,,"Cichorium endivia","עלש מצוי",35.236844,32.551710
104544,"Avinoam Danin - Vascular plants grid database",1,,"Brassica nigra","כרוב שחור",35.236844,32.551710
104545,"Avinoam Danin - Vascular plants grid database",1,,"Prosopis farcta","ינבוט השדה",35.236844,32.551710
104546,"Avinoam Danin - Vascular plants grid database",1,,"Helminthotheca echioides","תולענית דוקרנית",35.236844,32.551710
104547,"Avinoam Danin - Vascular plants grid database",1,,"Onobrychis caput-galli","כרבלת קטנה",35.236844,32.551710
104548,"Avinoam Danin - Vascular plants grid database",1,,"Urospermum picroides","אזנב מצוי",35.236844,32.551710
104549,"Avinoam Danin - Vascular plants grid database",1,,"Anagallis arvensis","מרגנית השדה",35.236844,32.551710
104550,"Avinoam Danin - Vascular plants grid database",1,,"Bromus scoparius","ברומית המטאטא",35.236844,32.551710
104551,"Avinoam Danin - Vascular plants grid database",1,,"Rapistrum rugosum","בקבוקון מקומט",35.236844,32.551710
104552,"Avinoam Danin - Vascular plants grid database",1,,"Amaranthus viridis","ירבוז עדין",35.236844,32.551710
104553,"Avinoam Danin - Vascular plants grid database",1,,"Notobasis syriaca","ברקן סורי",35.236844,32.551710
104554,"Avinoam Danin - Vascular plants grid database",1,,"Ornithogalum narbonense","נץ-חלב צרפתי",35.236844,32.551710
104555,"Avinoam Danin - Vascular plants grid database",1,,"Ononis mitissima","שברק מלבין",35.236844,32.551710
104556,"Avinoam Danin - Vascular plants grid database",1,,"Orobanche aegyptiaca","עלקת מצרית",35.236844,32.551710
104557,"Avinoam Danin - Vascular plants grid database",1,,"Avena sterilis","שבלת-שועל נפוצה",35.236844,32.551710
104558,"Avinoam Danin - Vascular plants grid database",1,,"Typha domingensis","סוף מצוי",35.236844,32.551710
104559,"Avinoam Danin - Vascular plants grid database",1,,"Conyza bonariensis","קיצת מסלסלת",35.236844,32.551710
104560,"Avinoam Danin - Vascular plants grid database",1,,"Brachypodium distachyon","עקצר מצוי",35.236844,32.551710
104561,"Avinoam Danin - Vascular plants grid database",1,,"Phlomis pungens","שלהבית הגלגל",35.236844,32.551710
104562,"Avinoam Danin - Vascular plants grid database",1,,"Daucus aureus","גזר זהב",35.236844,32.551710
104563,"Avinoam Danin - Vascular plants grid database",1,,"Ononis alopecuroides","שברק משבל",35.236844,32.551710
104564,"Avinoam Danin - Vascular plants grid database",1,,"Lactuca serriola","חסת המצפן",35.236844,32.551710
104565,"Avinoam Danin - Vascular plants grid database",1,,"Lavatera punctata","מעוג מנוקד",35.236844,32.551710
104566,"Avinoam Danin - Vascular plants grid database",1,,"Aster subulatus","אסתר מרצעני",35.236844,32.551710
104567,"Avinoam Danin - Vascular plants grid database",1,,"Scolymus maculatus","חוח עקד",35.236844,32.551710
104568,"Avinoam Danin - Vascular plants grid database",1,,"Conyza albida","קיצת מלבינה",35.236844,32.551710
104569,"Avinoam Danin - Vascular plants grid database",1,,"Sorghum virgatum","דורה רתמית",35.236860,32.596797
104570,"Avinoam Danin - Vascular plants grid database",1,,"Amaranthus albus","ירבוז לבן",35.236860,32.596797
104571,"Avinoam Danin - Vascular plants grid database",1,,"Cynara syriaca","קנרס סורי",35.236860,32.596797
104572,"Avinoam Danin - Vascular plants grid database",1,,"Brassica nigra","כרוב שחור",35.236860,32.596797
104573,"Avinoam Danin - Vascular plants grid database",1,,"Ammi visnaga","אמיתה קיצית",35.236860,32.596797
104574,"Avinoam Danin - Vascular plants grid database",1,,"Sorghum halepense","דורת ארם-צובא",35.236860,32.596797
104575,"Avinoam Danin - Vascular plants grid database",1,,"Scrophularia hierochuntina","לענית יריחו",35.236860,32.596797
104576,"Avinoam Danin - Vascular plants grid database",1,,"Atriplex rosea","מלוח ההרים",35.236860,32.596797
182778,"HUJ collections - Vascular plants",1,13/06/1951,"Nigella arvensis","קצח השדה",35.044767,32.795075
